,Pro-Israel,Pro-Palestine
0,0.7939267,0.20607327
1,0.6039327,0.39606726
2,0.74411803,0.25588182
3,0.8176503,0.18234964
4,0.8152343,0.18476568
5,0.7057332,0.29426676
6,0.8830694,0.11693044
7,0.8227163,0.17728364
8,0.9150843,0.08491551
9,0.65878403,0.34121594
10,0.734303,0.2656971
11,0.86431915,0.1356809
12,0.9356284,0.064371616
13,0.80927986,0.1907202
14,0.8781847,0.12181532
15,0.6061045,0.3938955
16,0.8543385,0.1456615
17,0.7534286,0.24657126
18,0.84627986,0.1537202
19,0.5717603,0.4282397
20,0.7941837,0.2058164
21,0.9117833,0.088216476
22,0.7582477,0.24175242
23,0.69861084,0.30138922
24,0.8255947,0.1744053
25,0.7770321,0.22296803
26,0.85466367,0.14533606
27,0.6308551,0.36914495
28,0.70982534,0.29017454
29,0.789953,0.21004686
30,0.97688204,0.023118
31,0.7777179,0.2222822
32,0.8418633,0.15813667
33,0.9006305,0.09936963
34,0.6959706,0.30402935
35,0.8503562,0.14964384
36,0.80429304,0.19570702
37,0.93998426,0.060015786
38,0.82412755,0.17587242
39,0.59842783,0.40157223
40,0.78318053,0.2168195
41,0.7679808,0.23201917
42,0.74231863,0.25768134
43,0.7054403,0.29455972
44,0.8516615,0.14833848
45,0.82975143,0.17024857
46,0.8300773,0.16992271
47,0.7365561,0.2634439
48,0.7756941,0.22430602
49,0.8335681,0.16643198
50,0.91523,0.08477006
51,0.64237106,0.357629
52,0.84765416,0.1523458
53,0.73023885,0.26976123
54,0.72436625,0.2756337
55,0.8878176,0.11218251
56,0.8121782,0.18782175
57,0.764082,0.23591799
58,0.7677032,0.23229675
59,0.7919395,0.20806052
60,0.7519907,0.24800949
61,0.64584,0.35416004
62,0.80085,0.1991499
63,0.8238515,0.17614847
64,0.8296487,0.17035112
65,0.7863555,0.21364442
66,0.64573026,0.35426956
67,0.9296169,0.070383035
68,0.85372084,0.14627904
69,0.6872633,0.31273663
70,0.83140945,0.16859066
71,0.8086445,0.19135559
72,0.7248767,0.2751232
73,0.64289373,0.3571062
74,0.9072246,0.09277542
75,0.8126981,0.18730178
76,0.7592342,0.24076597
77,0.83418953,0.1658105
78,0.717275,0.28272507
79,0.84592324,0.15407664
80,0.8959468,0.104053065
81,0.88176125,0.11823875
82,0.8045009,0.19549909
83,0.9053516,0.09464846
84,0.82771164,0.17228849
85,0.8175582,0.18244186
86,0.8957554,0.10424471
87,0.67753243,0.32246745
88,0.9280066,0.07199333
89,0.9497184,0.050281797
90,0.8931293,0.10687054
91,0.85218316,0.14781672
92,0.7179277,0.2820722
93,0.8810688,0.11893126
94,0.7493294,0.25067055
95,0.7685653,0.23143478
96,0.61646867,0.38353127
97,0.82380104,0.17619888
98,0.8262583,0.17374162
99,0.9099747,0.09002529
100,0.84607834,0.15392151
101,0.8654918,0.13450809
102,0.8823593,0.11764049
103,0.89551353,0.10448654
104,0.66108274,0.33891723
105,0.8671012,0.1328988
106,0.82982635,0.17017378
107,0.75036323,0.24963678
108,0.804301,0.19569889
109,0.8047019,0.19529806
110,0.8214185,0.1785815
111,0.75824594,0.24175413
112,0.83825,0.16175005
113,0.853072,0.14692804
114,0.90442324,0.09557689
115,0.80814254,0.19185753
116,0.6353117,0.3646883
117,0.7699078,0.23009218
118,0.8348723,0.16512758
119,0.6361232,0.36387688
120,0.82434106,0.17565922
121,0.9111916,0.08880832
122,0.6760191,0.323981
123,0.51568884,0.48431113
124,0.83086205,0.16913788
125,0.7540833,0.24591678
126,0.84668356,0.15331636
127,0.85989755,0.14010255
128,0.8451104,0.15488951
129,0.86568636,0.13431357
130,0.74727577,0.2527243
131,0.86814725,0.13185263
132,0.57864016,0.42135987
133,0.82258546,0.17741442
134,0.83071154,0.16928856
135,0.5964708,0.40352914
136,0.6041175,0.39588252
137,0.8002605,0.19973971
138,0.83812404,0.16187608
139,0.942155,0.05784502
140,0.84756297,0.15243709
141,0.7055937,0.29440624
142,0.8857951,0.11420474
143,0.78180254,0.21819757
144,0.7303497,0.2696503
145,0.90192467,0.09807524
146,0.77706665,0.22293338
147,0.8456804,0.15431957
148,0.7080982,0.2919018
149,0.9128309,0.08716878
150,0.91797423,0.082025774
151,0.81512755,0.18487248
152,0.9006269,0.09937306
153,0.8275789,0.17242113
154,0.81787795,0.18212216
155,0.6925804,0.3074196
156,0.5861683,0.4138317
157,0.65724736,0.3427527
158,0.8125186,0.18748131
159,0.76748025,0.23251969
160,0.88198143,0.11801853
161,0.84473085,0.15526906
162,0.7346318,0.2653681
163,0.91499907,0.0850009
164,0.8632306,0.13676934
165,0.5653066,0.43469346
166,0.95113325,0.048866615
167,0.8888267,0.111173384
168,0.7857123,0.21428785
169,0.8422389,0.1577611
170,0.8631096,0.13689058
171,0.7948436,0.20515655
172,0.8749408,0.12505922
173,0.75548553,0.2445144
174,0.66093194,0.339068
175,0.9565024,0.04349772
176,0.74255323,0.2574468
177,0.75313276,0.24686714
178,0.8916136,0.10838647
179,0.8214842,0.1785159
180,0.83982056,0.16017935
181,0.7309409,0.26905894
182,0.8540399,0.14596005
183,0.7652187,0.23478134
184,0.7861192,0.21388063
185,0.7785279,0.22147217
186,0.741021,0.258979
187,0.7448494,0.25515062
188,0.72387445,0.27612546
189,0.88281167,0.11718854
190,0.92078966,0.07921043
191,0.76708364,0.2329164
192,0.80303454,0.19696562
193,0.85412294,0.14587705
194,0.94780535,0.052194726
195,0.9206282,0.07937182
196,0.6892518,0.31074813
197,0.56813616,0.43186378
198,0.57155114,0.42844883
199,0.72323775,0.27676225
200,0.8330276,0.1669725
201,0.76770943,0.23229061
202,0.8169018,0.1830982
203,0.5450708,0.45492923
204,0.8880944,0.11190571
205,0.89288956,0.107110694
206,0.9336019,0.066398025
207,0.87971187,0.12028811
208,0.720624,0.27937606
209,0.64470917,0.35529086
210,0.49796814,0.50203186
211,0.65213114,0.34786892
212,0.8838087,0.11619148
213,0.8684238,0.13157617
214,0.54944277,0.4505573
215,0.93933696,0.060662955
216,0.75376725,0.24623272
217,0.9083329,0.09166728
218,0.63213277,0.3678672
219,0.78758216,0.21241789
220,0.68221563,0.31778443
221,0.83368134,0.16631843
222,0.60216135,0.39783862
223,0.88527876,0.11472112
224,0.6827587,0.31724128
225,0.8662617,0.13373826
226,0.83004767,0.16995244
227,0.75067025,0.24932991
228,0.74701804,0.2529819
229,0.60211986,0.39788014
230,0.90695,0.09304977
231,0.63301826,0.3669818
232,0.6103344,0.38966563
233,0.8511509,0.1488491
234,0.7338546,0.2661454
235,0.86942583,0.13057417
236,0.87767303,0.12232699
237,0.8988571,0.101142876
238,0.8439069,0.15609308
239,0.8880931,0.11190686
240,0.8840311,0.115968935
241,0.65865105,0.3413489
242,0.9210584,0.07894161
243,0.8846299,0.11536993
244,0.70198715,0.29801297
245,0.8982738,0.10172634
246,0.91766304,0.08233716
247,0.763889,0.2361107
248,0.86972165,0.13027835
249,0.9495182,0.05048185
250,0.87202066,0.12797928
251,0.9184072,0.08159298
252,0.88426536,0.115734726
253,0.77692384,0.22307609
254,0.74314666,0.25685334
255,0.7130266,0.28697348
256,0.7412864,0.25871363
257,0.8650747,0.13492534
258,0.69508713,0.3049128
259,0.7420913,0.25790873
260,0.8179039,0.18209608
261,0.6241621,0.37583792
262,0.84595567,0.15404429
263,0.87468666,0.12531324
264,0.5796782,0.42032176
265,0.7767708,0.22322923
266,0.85354596,0.14645398
267,0.7422208,0.25777915
268,0.7116188,0.2883813
269,0.9458959,0.05410417
270,0.81758034,0.18241973
271,0.8905308,0.10946903
272,0.8133501,0.18664984
273,0.9118032,0.08819672
274,0.8537611,0.14623895
275,0.6518119,0.348188
276,0.71984273,0.2801572
277,0.6848787,0.3151212
278,0.8435804,0.15641965
279,0.84029937,0.15970069
280,0.8457833,0.15421666
281,0.75088483,0.2491152
282,0.8803273,0.119672574
283,0.7090118,0.29098824
284,0.8638556,0.13614441
285,0.5779835,0.42201644
286,0.74043447,0.2595655
287,0.6543329,0.34566715
288,0.86575705,0.13424279
289,0.7477408,0.25225922
290,0.616902,0.383098
291,0.6883848,0.31161523
292,0.8300767,0.16992332
293,0.93997496,0.060025077
294,0.8638369,0.1361632
295,0.8420429,0.15795706
296,0.84127295,0.15872712
297,0.62407094,0.3759289
298,0.7750871,0.22491285
299,0.86861193,0.1313883
